ticket_subject,ticket_body,origin,status,priority,reporter_id,lat,lng
Pothole on Broadway,There is a large pothole on Broadway near West 42nd Street in Times Square. It's about 2 feet in diameter and could damage vehicles.,phone,awaiting response,high,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.7580,-73.9855
Streetlight out in Upper East Side,The streetlight at Park Avenue and East 72nd Street has been out for three days. The area is very dark at night and feels unsafe.,web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.7706,-73.9653
Graffiti on Brooklyn building,Graffiti has appeared on the side of the municipal building in Williamsburg near Bedford Avenue and North 7th Street. It should be cleaned soon.,text,response in progress,low,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.7156,-73.9562
Broken water main in Queens,Water is leaking from what appears to be a broken water main in Astoria on 30th Avenue near Steinway Street. The street is flooding.,phone,response in progress,high,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.7648,-73.9101
Fallen tree in Prospect Park,A large tree branch fell during last night's storm and is blocking the entire walkway in Prospect Park near the Boathouse.,phone,awaiting response,high,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.6602,-73.9690
Trash not collected in Bronx,Our trash wasn't collected on the scheduled pickup day yesterday in Fordham. The bins are overflowing near Grand Concourse and East 188th Street.,web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.8548,-73.8936
Overgrown vegetation on Staten Island,"The vegetation at the corner of Victory Boulevard and Manor Road has grown over the stop sign, making it hard to see.",text,awaiting response,low,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.6092,-74.1157
Noise complaint in Chelsea,Construction near 23rd Street and 9th Avenue is starting before 7 AM and violating the noise ordinance. This has been happening all week.,phone,resolved,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.7465,-74.0014
Sidewalk repair needed in Harlem,"The sidewalk at West 125th Street and Malcolm X Boulevard is cracked and uneven. It's a tripping hazard, especially for elderly residents.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.8085,-73.9434
Snow removal in Park Slope,The side streets in Park Slope near 7th Avenue and 9th Street haven't been plowed yet. Main roads are clear but residential streets are impassable.,phone,response in progress,high,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.6710,-73.9778
Illegal dumping in South Bronx,Someone has dumped furniture and appliances on Brook Avenue near East 138th Street. This has been there for over a week.,text,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.8067,-73.9189
Damaged park equipment in Flushing,The swings at Kissena Park are broken and potentially dangerous. They need to be repaired or removed immediately.,web form,response in progress,high,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.7445,-73.8087
Traffic signal malfunction in Greenwich Village,The traffic light at the intersection of Bleecker Street and MacDougal Street is stuck on red in all directions.,phone,resolved,high,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.7297,-73.9993
Stray animals in Bay Ridge,There are multiple stray dogs roaming around the area near 86th Street and 4th Avenue. They appear friendly but should be picked up.,text,awaiting response,low,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.6226,-74.0270
Dead animal removal on FDR Drive,There is a deceased deer on the shoulder of FDR Drive near East 23rd Street exit. It's creating a traffic hazard.,phone,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.7338,-73.9734
