ticket_subject,ticket_body,origin,status,priority,reporter_id,lat,lng
Obstruction on 32 Street in Queens (unique_key: 67078272),"I am reporting a cone obstruction on 32 Street in the Queens borough. The cone is currently blocking a portion of the street, potentially causing a hazard for drivers and pedestrians. I am concerned that if this issue is not addressed, it may lead to accidents or disruptions in traffic flow. I would appreciate it if the city could remove or relocate the cone as soon as possible to ensure public safety.",phone,awaiting response,low,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.761599665302725,-73.92458792215176
Damaged Guard Rail on Arthur Kill Road (unique_key: 67080953),"I am reporting a damaged guard rail on Arthur Kill Road, which poses a safety hazard to drivers and pedestrians. The guard rail appears to be bent and loose, and I am concerned that it could cause an accident if not repaired. I have noticed this issue while driving on Arthur Kill Road near the 3044 address, and I hope it can be addressed as soon as possible. I would appreciate it if the relevant authorities could inspect and repair the guard rail to ensure public safety.",phone,awaiting response,high,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.54491883453047,-74.23128859672183
Unleashed Dog in Public Area (unique_key: 67076566),"I am reporting an unleashed dog roaming freely in the public area near 88-10 86 Street in Queens. As I was walking by, I saw the dog without a leash or an owner in sight, which is a concern for public safety. The dog appears to be a medium-sized breed and is currently wandering around the unfenced area, posing a potential threat to pedestrians and other animals. I kindly request that animal control be dispatched to the location to safely capture the dog and reunite it with its owner.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.69055113111359,-73.85742463826716
"Outdoor Dining Concern at 214 Greene Avenue, Brooklyn (unique_key: 67076839)","I am writing to express concern about the outdoor dining setup at the restaurant located at 214 Greene Avenue in Brooklyn. The current configuration appears to be obstructing pedestrian traffic and taking up a significant portion of the sidewalk, making it difficult for people to walk by. I am worried about the safety and accessibility of the area, especially for individuals with disabilities or families with strollers. I would appreciate it if the city could look into this matter and ensure that the outdoor dining area is compliant with city regulations.",web form,awaiting response,low,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.68705425247828,-73.96278503418345
"Outdoor Dining Concern at 214 Greene Avenue, Brooklyn (unique_key: 67075310)","I am writing to express concern about the outdoor dining setup at the restaurant located at 214 Greene Avenue in Brooklyn. The current configuration appears to be obstructing pedestrian traffic and taking up a significant portion of the sidewalk, making it difficult for people to walk by. As a frequent visitor to this area, I am worried about the safety and accessibility of the sidewalk, especially for individuals with disabilities or families with strollers. I would appreciate it if the city could look into this matter and ensure that the outdoor dining area is set up in a way that complies with city regulations and allows for safe passage.",web form,awaiting response,low,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.68705425247828,-73.96278503418345
"Failed Street Repair at 35-37 204 Street, Queens (unique_key: 67080952)","I am writing to report a failed street repair at 35-37 204 Street in Queens. The street was recently resurfaced, but the repair work has already started to deteriorate, with potholes and uneven pavement forming. This is not only causing damage to vehicles, but it's also creating a hazardous condition for pedestrians and cyclists. I kindly request that the city sends a crew to reassess and redo the repair work to ensure the street is safe for everyone.",web form,awaiting response,high,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.76589722417967,-73.78329747884915
"Sidewalk Blocked by Construction at 834 Pacific Street, Brooklyn (unique_key: 67078147)","I am writing to report that the sidewalk at 834 Pacific Street in Brooklyn is currently blocked due to ongoing construction. The obstruction is causing pedestrians to walk into the street, which is a significant safety concern, especially for children and seniors. I am concerned that if this issue is not addressed promptly, it may lead to accidents or injuries. I would appreciate it if the city could take immediate action to ensure the sidewalk is cleared and made safe for pedestrians.",phone,awaiting response,high,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.68076171575791,-73.96679055295567
Poor Ventilation Causing Indoor Air Quality Issues at 411 Butler Street (unique_key: 67078043),"I am concerned about the indoor air quality at my residence, 411 Butler Street, due to inadequate ventilation. The lack of proper airflow is causing stale air and moisture buildup, which is exacerbating allergy issues and creating an unpleasant living environment. I have tried to improve the situation by opening windows, but it's not sufficient, and I believe a more permanent solution is needed to ensure healthy air circulation. I would appreciate it if someone could investigate and assist in resolving this issue.",phone,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.679675192230306,-73.98056714793253
Rodent Sighting at Commercial Building in Queens (unique_key: 67085448),"I am writing to report a rat sighting at the commercial building located at 155-01 90 Avenue in Queens. I witnessed a rat scurrying around the premises, specifically near the entrance of the building, and I am concerned about the potential health risks this poses to the employees and customers who frequent this location. The rat was seen during daylight hours, which suggests that the infestation may be significant. I kindly request that the necessary measures be taken to address this issue and prevent further rodent activity.",web form,awaiting response,medium,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.7045939044023,-73.8021037797246
Unverified Food Establishment Permit at 10 Columbus Circle (unique_key: 67083725),"I am concerned that the restaurant located at 10 Columbus Circle in Manhattan may not have a valid permit or license to operate. As a frequent customer, I noticed that the establishment's certificate of permit is not displayed prominently as required by law. I am worried about the potential health and safety implications of this oversight and would like the city to verify the status of their permit. I would appreciate it if someone could investigate this matter and ensure that the establishment is in compliance with all relevant regulations.",web form,awaiting response,low,b3cdcf8f-3c7a-4001-b7fb-646e909d2fa9,40.768273498505636,-73.98231026912883
